model,cap_control,effect_adulacion,effect_hostil-combinado,effect_hostil-correctivo
claude-opus-4-7,0.2,0.0,-0.2,-0.2
gpt-5.5,0.0,0.0,0.4,0.6
kimi-k2.6,0.0,0.0,0.6,0.4
